query	target	pident	ug_alnlen	y_true
P32754	P32755	89.8	393	1
P11558	Q49605	72.8	549	1
P19643	P56560	86.5	520	1
Q92729	Q15262	58.2	1381	1
P22288	Q05915	96.2	241	1
P19808	Q9JZR4	36.1	286	1
P18133	P22253	91	400	1
P06999	P0A9J6	21	294	1
P18886	P23786	83.5	658	1
P28313	P06181	43.2	338	1
P30101	P27773	93	505	1
P48318	Q05329	64.2	584	1
Q9WZW0	Q9V1A5	30	267	1
Q03217	Q02068	55.6	315	1
P00480	Q51742	46.7	306	1
P30920	P30921	71.9	710	1
P60174	P00940	89	247	1
P98200	Q9NTI2	94.5	1144	1
O94925	P13264	94	666	1
P00749	P00750	38.6	391	1
Q9L1L8	P00512	41	315	1
P03018	P56255	42.6	712	1
P97490	O95622	37	1096	1
P40562	P38919	12.5	371	1
P49888	P19217	73.9	288	1
P09384	P07363	84.6	654	1
O57728	P00830	12.8	456	1
P00940	P60174	89	247	1
O28126	P25500	10.8	346	1
P80523	O07836	23.3	175	1
P16870	Q00493	96.6	476	1
Q55793	Q9Z1J3	24.2	360	1
Q57878	P28720	25.3	332	1
Q96291	P35704	63.6	188	1
O95498	O95497	63.7	493	1
P50162	P40288	31.6	249	1
Q27743	Q07841	28.8	295	1
P36594	Q980R2	42.6	840	1
P10619	P16675	86.8	474	1
P08103	P07948	69.9	503	1
Q03145	P29317	92.7	975	1
Q43155	P23225	83	1515	1
P00959	Q9V011	32.2	664	1
P29253	P0A7Y4	55.4	145	1
Q00973	Q09200	86.8	533	1
P95493	P28784	60	731	1
P10481	Q9UQ49	19.1	341	1
P29935	Q05603	30.8	325	1
P04191	O55143	84.3	994	1
P31434	Q9P999	21.5	649	1
Q9ZLB9	P00805	49.8	329	1
P45877	P23284	69.8	189	1
P37433	P13633	25.3	310	1
P54310	P15304	94.4	759	1
P14518	P14080	49.3	211	1
P21524	P23921	66.4	758	1
P11801	P11275	37.6	289	1
Q05769	P35355	96	604	1
P42216	P44490	43.3	237	1
Q9T0P4	Q43155	84.4	1515	1
Q57991	P26512	30.5	393	1
P96113	Q9FUZ2	35.9	162	1
P33284	P04806	70.7	484	1
P00563	P06732	96.5	381	1
P00729	P16675	29	369	1
Q55664	P56109	39.2	305	1
Q01172	P39116	17.4	321	1
P43304	Q64521	93.2	727	1
O42479	P22830	80.9	401	1
P69327	P08017	33.1	422	1
P42575	P29594	89.6	452	1
Q9UX83	P35028	66.6	194	1
P98073	P98072	81.1	1019	1
P22310	P35503	93.2	534	1
Q40577	Q39761	46.6	542	1
P07267	P18242	43.1	318	1
P20142	P00794	43.1	366	1
P53041	P36873	36.1	292	1
P21310	P35510	29.4	463	1
O75844	P47154	34.4	417	1
Q96529	O24396	73.1	476	1
Q43908	Q9Y600	27.3	454	1
P19938	P0AB80	27.8	268	1
P39928	P30855	18	383	1
P37303	O07051	38.7	332	1
P00374	P00375	89.8	187	1
P39669	P0A6V1	57.2	412	1
P70080	P17752	86.8	439	1
P16575	P30855	27.3	1176	1
P37981	O59570	53.7	175	1
Q04829	P11959	49.3	469	1
Q9P4V2	O95394	47.7	521	1
P46436	P56598	26.6	193	1
O36014	P38821	48.8	452	1
P23946	P18291	51.2	246	1
P28037	O75891	91.7	902	1
P00634	P09242	24	408	1
Q64230	P28825	87.1	746	1
P21642	P07379	65.1	603	1
Q16853	O08590	82.4	763	1
P80654	P80656	20.5	59	1
Q21929	P40288	26.2	247	1
P48491	P60174	60.7	245	1
O76240	P50244	70.3	356	1
P14294	P06612	21.7	551	1
P49761	O35492	88.4	638	1
P91938	P80461	33	533	1
Q9ULC6	Q9UM07	56.6	657	1
P26637	P96142	14.6	752	1
Q64133	P21396	94.8	526	1
O59425	O28362	34.9	81	1
Q12913	P23467	25.4	1087	1
P16228	P70269	92.7	397	1
P48449	P48450	84.3	732	1
Q59288	Q54873	19.1	642	1
Q57695	Q9X1K9	48.2	289	1
O35244	O08709	93.3	224	1
P00947	P07445	33	125	1
P05986	P40376	47.2	387	1
Q01289	Q42536	80.5	398	1
Q08493	P54748	63.3	689	1
P45578	P44007	69.2	166	1
P34791	P23284	65.6	169	1
O93295	Q9MYU4	40.6	486	1
Q51742	P00480	46.7	306	1
P07378	P18912	46.2	391	1
P80595	O75354	27.5	411	1
P32440	Q58194	64.9	338	1
Q06278	P48034	86.8	1338	1
Q50940	P00915	29.6	217	1
P05654	O66726	40.9	280	1
P46597	Q9LEL6	18.9	333	1
Q38997	P47197	32.2	285	1
Q52428	O26328	58	430	1
P42681	P24604	60.7	466	1
P09623	P09622	96.2	509	1
P29295	P48729	61.6	305	1
P39042	P0AEB2	28.8	273	1
O60658	O95263	62.9	824	1
P37064	P14133	82.6	542	1
P41743	P47197	42.5	345	1
P17948	P35916	37.5	1253	1
Q9Y2D0	P35218	59.7	303	1
Q42525	P33284	34.6	445	1
P15043	P35187	28.7	608	1
P45748	P39153	32	173	1
P20815	P24462	81.7	502	1
P32020	P22307	89.2	547	1
P46309	O23736	91.7	514	1
P75817	P55135	21.5	321	1
O80840	O15305	60.4	244	1
P33121	P18163	85.5	698	1
P22337	P22243	86.3	396	1
Q16774	Q64520	88.2	196	1
O07051	P75823	52.8	332	1
Q9UBP0	P46467	29.2	400	1
P31663	O24035	40	281	1
P43619	Q15274	44.1	282	1
O23087	P92939	65.4	1025	1
Q59266	O66937	43.1	472	1
P24462	P20815	81.7	502	1
Q07407	P22455	36.9	634	1
P0AEZ1	O80585	32.4	284	1
P23738	Q43908	20.8	476	1
Q07510	P30074	16.9	319	1
Q52087	Q51645	37.3	221	1
P54751	Q02734	26.1	245	1
Q9X4Q6	Q57095	91.9	210	1
Q59643	P13716	41.1	323	1
P24040	P24474	53.2	539	1
P32579	P39153	37.4	342	1
P23222	P10955	54.5	375	1
Q9ULW8	Q9UM07	55.6	655	1
P32396	O42479	25.8	306	1
Q14790	P70677	33.7	268	1
Q05603	P29935	30.8	325	1
P07101	P04177	83.7	497	1
Q60860	Q16873	88	150	1
Q14353	P75876	14.7	183	1
P31922	P49040	72.7	800	1
P23291	P48729	53.7	301	1
P49441	Q59943	10.3	271	1
P49448	P26443	93.9	558	1
P93149	P93147	29.9	472	1
P11653	P22033	58.3	718	1
P04958	P10844	40.1	1269	1
O05207	P0AES6	11.3	361	1
P30694	Q01647	94.5	966	1
P33402	P19686	49	670	1
P06608	P10182	45.8	329	1
Q09200	Q00973	86.8	533	1
P15623	Q60182	17.3	400	1
Q16873	Q60860	88	150	1
Q47318	Q47316	16.3	526	1
P32951	Q00663	51.9	386	1
P14555	P24027	45.8	138	1
Q13162	P32119	69.7	195	1
P42413	Q46938	15.5	199	1
O70370	P25774	73.4	331	1
P55929	P14532	43.3	331	1
P06732	P00563	96.5	381	1
P18912	P00560	49	392	1
P0A786	P77918	52.2	298	1
P00751	P04186	83.9	761	1
P13667	P38659	88.4	629	1
P41216	P18163	94.7	699	1
Q9RHV9	O26328	24	412	1
P16276	Q99798	96.9	779	1
Q15125	P70245	77.8	230	1
P43410	P43408	81.7	192	1
P49326	P97872	84	533	1
P72181	P24474	62.3	568	1
P42787	P15169	42.8	379	1
P53128	Q10258	47.1	583	1
P80857	Q08713	84.8	211	1
P55059	P17967	39.6	454	1
P16456	P49903	25.6	316	1
Q9HH07	P56709	78.1	553	1
P37487	P95765	56.2	309	1
O14370	P47176	51	369	1
P52564	P70236	97.9	334	1
Q92179	P17988	12.1	245	1
P04717	P00875	94.3	475	1
Q9UKV0	P56524	52.2	933	1
Q9UQ49	P10481	19.1	341	1
O13898	P33775	32.9	702	1
P45395	P42404	19.5	171	1
P06132	P32347	50	350	1
P97562	O02767	73.5	681	1
P00512	Q9L1L8	41	315	1
P05024	P54707	64	1021	1
Q43257	Q43250	50.1	495	1
P06815	P97571	90.3	301	1
P30431	P15167	64.6	375	1
P17719	P00375	46	177	1
Q9Y6F1	Q9UGN5	34	505	1
Q58037	Q58407	27.3	273	1
Q9UKK3	P09874	20	535	1
O80585	P42898	42.8	580	1
Q08387	P49917	22.7	815	1
P15309	P24031	13	329	1
Q56587	Q9KPS2	90.5	414	1
P04800	P24462	70.4	503	1
P24027	P20474	66.6	138	1
P25779	Q9UBX1	44.3	296	1
Q9WVC6	O00141	96.5	431	1
P05062	P00883	69.7	364	1
P38576	P50308	49.1	167	1
P53629	O75907	18.7	429	1
Q58597	Q9UZ14	48.1	606	1
P42679	P41242	87.1	505	1
P11035	P17571	74	613	1
Q58822	O28190	45.7	305	1
Q05506	O59147	26.1	554	1
P44490	P42216	43.3	237	1
P76341	O32142	35	107	1
P19456	P05030	35.5	827	1
P30844	P36557	85.6	356	1
P11498	P52873	96.3	1178	1
Q9LEL6	Q9LEL5	51.8	345	1
Q39734	Q39735	93.4	952	1
P49917	Q08387	22.8	818	1
Q01064	Q01065	95.8	535	1
P70496	Q13393	90.6	1074	1
O22340	O24474	64.6	625	1
P80148	P21553	57.6	374	1
P00915	P16015	55.1	259	1
P22073	P54818	8.8	274	1
O34425	P00362	61.8	333	1
P12851	P15587	68.1	386	1
P42801	Q38862	93.5	510	1
Q9Y2J8	Q08642	93.2	665	1
O58441	P34945	35.3	411	1
O69282	O24913	20.5	416	1
Q16739	P19449	15.9	325	1
P11652	P22033	21.4	597	1
Q14318	P45523	21.6	102	1
Q56310	P29072	41.5	655	1
P05696	Q9WVC6	39.5	354	1
Q9LZG0	Q9SF85	92.4	343	1
P36511	P08541	77.9	530	1
P15445	P00598	96.6	118	1
P19821	P00582	36.2	820	1
Q01782	P42556	80.2	288	1
P39054	P39055	63.9	816	1
O07883	O73944	56.5	206	1
P00450	Q61147	83.3	1060	1
P0A7E1	P32746	38	320	1
Q13219	Q9Z1K9	7.9	514	1
Q54801	P0ABQ4	35.1	158	1
Q01330	P16662	16.5	388	1
Q51344	P44801	67	368	1
P22830	O42479	80.9	401	1
P14377	P10955	17.8	346	1
P14909	Q56232	29.5	381	1
Q00722	Q9NQ66	44.8	1130	1
P12758	O34925	27.1	227	1
P30085	P20425	50.7	187	1
P21161	P43387	54.8	262	1
P00761	P00760	82.2	231	1
P22869	P18798	14.4	309	1
P13653	Q42536	71.4	387	1
Q9Y463	Q9Z188	97.2	629	1
P12007	P26440	89.9	421	1
P18315	P07374	54.8	91	1
P53396	P20901	19.2	213	1
P09785	P00897	46.4	497	1
Q06402	P18485	65.3	473	1
P18429	P29127	25.9	197	1
P70269	P16228	92.7	397	1
P06784	Q13163	37.8	308	1
P00811	P05364	69.2	377	1
P43409	P43408	79.6	192	1
P42596	Q58293	9.8	224	1
O75936	P37610	16	227	1
P00388	P16435	92.4	677	1
P08017	P69327	33.1	422	1
P29074	P26045	51	900	1
P06986	P14909	20.5	294	1
P0AB91	Q9ZFK4	12.8	239	1
P21889	P36419	48.1	569	1
P76562	Q57146	10.5	151	1
P42450	P37330	54.8	715	1
Q60490	Q15125	73.8	226	1
Q12122	P48570	91	424	1
P23970	P17109	27.5	539	1
P48999	P12527	97.6	673	1
Q02971	Q38707	67.8	348	1
P07955	P11560	57.9	432	1
P47039	P77806	26.9	383	1
P35590	Q02858	45.4	1084	1
Q08225	Q9NY33	33.6	669	1
P46439	P21266	71.8	217	1
P56658	P00813	88.7	363	1
P55859	P00491	86.5	289	1
O59072	P04079	51.5	306	1
P35510	P45724	91	710	1
P80022	P80196	59.5	224	1
O08467	Q60182	46.7	411	1
Q01693	P80561	19.4	371	1
Q00993	P55144	40.8	839	1
P25704	P17182	83.6	434	1
P46971	P33775	29.2	667	1
O07835	P80521	17.4	329	1
P07445	P00947	33	125	1
P22188	P15925	14.4	342	1
O24164	P56601	25.9	457	1
Q61481	Q01064	60.5	481	1
Q9UBN7	Q9UKV0	39.5	379	1
P22133	Q07841	20.1	293	1
Q02527	O94766	10	217	1
Q58998	O50083	51.7	225	1
Q9NQ66	P10687	97.3	1216	1
P09620	P16675	23	419	1
P38659	P13667	88.4	629	1
P25582	P75817	10.2	143	1
Q9UBX1	P25779	42.7	312	1
P17743	Q58723	11.2	187	1
P41562	P33198	70	407	1
P35355	Q05769	96	604	1
P16426	Q57146	84.6	183	1
Q03471	O22340	10.2	271	1
Q63651	O70293	47.6	535	1
Q9YGI5	P11936	58.7	281	1
Q58987	O57978	52.8	230	1
P05982	Q64669	93.7	274	1
P97697	P09467	11.6	239	1
Q12556	P12807	32.3	633	1
P15019	P53228	68.6	332	1
Q29551	P55809	89.8	520	1
Q13163	Q63980	35.4	315	1
P56255	P03018	42.7	710	1
P52903	P08559	47	380	1
O15992	P16641	42.9	686	1
P97532	P25325	84.8	297	1
P47923	O64903	63.4	230	1
P39112	P30850	17.1	414	1
P00455	P10933	80.7	360	1
P22637	P12676	58.5	503	1
P09871	P00736	36.8	658	1
P32477	P48506	39.6	612	1
Q08960	Q57705	30.8	297	1
P04040	P04762	88.9	527	1
P21836	P23795	89.9	613	1
P12807	Q12556	32.3	633	1
O15269	O15270	26.6	382	1
P06786	P11388	40	1375	1
P25516	Q23500	52.2	875	1
Q9KPS2	Q56587	90.5	414	1
P51178	P10688	91.2	756	1
P50941	P40288	34	238	1
Q43077	P46883	27.7	615	1
P47738	P05091	94.8	516	1
Q92851	Q14790	31.6	435	1
P50579	P38062	94.9	478	1
P56206	O23627	28.2	466	1
P35571	Q64521	95.5	713	1
P81055	P81054	61.6	167	1
O14733	Q23977	53.5	384	1
P97571	P17655	62.5	696	1
P25092	P16066	29.9	929	1
P09411	P09041	83.6	417	1
P09960	P19602	92.9	611	1
Q00663	P32951	51.9	386	1
P00591	P11151	27	400	1
P26841	P43886	17.2	107	1
P10719	P00830	76.1	489	1
Q9Y3E5	O74017	50	116	1
P30837	P05091	72.5	516	1
P04062	P17439	86.4	515	1
P21218	Q42536	87.1	401	1
P32169	Q58813	14.8	178	1
O58187	Q96529	31	329	1
Q92820	Q62867	67.9	317	1
P47190	P33775	31.5	665	1
P15651	P12007	35.4	405	1
P38483	P47855	64.6	229	1
Q58293	P38793	16	323	1
Q51344	P0A9Q9	69.2	366	1
Q58661	O64903	46.4	140	1
Q27890	P22513	84.3	357	1
Q28824	P29294	87.3	1145	1
P93836	Q53586	33.3	362	1
Q9FUZ2	P96113	37	157	1
P28650	Q96529	45.6	450	1
P07363	P09384	84.6	654	1
P25325	P97532	84.8	297	1
Q9Z2W0	O36014	46.5	458	1
P18392	P0AEJ4	22.5	401	1
P14756	Q00971	48.8	487	1
Q38932	Q43503	31.7	487	1
O00767	P13011	83	358	1
P54493	P46116	26.9	226	1
P07374	P18314	60.8	564	1
P00798	Q06902	66.5	311	1
P00785	P10056	40.4	339	1
P06745	Q9N1E2	89.4	558	1
P27830	Q14376	23.9	311	0
P27988	P07650	8.7	194	0
P43311	P98073	11	99	0
P43341	P53041	10	195	0
Q14197	O88508	9.6	173	0
P12955	P40051	21.1	405	0
P12996	Q9S498	17.9	296	0
Q9UPE1	P51567	20.7	374	0
P26163	P07328	19.3	380	0
P26164	P07328	13.8	401	0
P26221	P38604	10.4	289	0
P26239	P0A9M0	13.4	244	0
P26281	P17752	11.8	95	0
Q58027	P06986	11.7	317	0
Q58185	Q00511	10.9	240	0
Q58280	P19499	36	251	0
Q9WYJ7	P22936	32.9	277	0
P20048	O95622	12.6	279	0
Q07356	P32397	15.9	419	0
Q07538	Q9Z188	31.7	342	0
P44806	P17443	9.1	310	0
P44814	Q9UZ14	15.5	116	0
P44859	Q51792	13.9	241	0
P42785	Q9UHL4	40.2	462	0
P42941	P05030	10.3	205	0
P25665	P32327	9.7	261	0
Q00019	P15169	17.7	80	0
Q00055	P32440	8.6	274	0
Q00441	O34926	24.2	379	0
Q00511	P56740	11.8	114	0
Q00740	P35520	19.3	278	0
P16444	P00883	9.3	271	0
P54997	P16575	13.1	235	0
P53730	P76473	11.8	388	0
P22567	Q9X2A4	28.1	269	0
P22643	P27652	18.1	285	0
Q03266	P0AB80	15.1	192	0
P0ABN1	P70245	12.9	101	0
P0AC38	P08417	37.5	462	0
P32964	Q02068	37.7	350	0
Q57600	P14882	13.8	291	0
P19531	P30920	46.6	699	0
P19636	Q64685	16.7	144	0
P34884	P30046	33.9	114	0
P15474	P11653	14.4	124	0
P15505	Q9Y617	10.4	319	0
P15555	P00811	20.6	332	0
Q59639	P54818	10.4	174	0
Q60106	O14773	19.8	505	0
P11444	P08310	25.7	349	0
P11511	Q43250	19.2	468	0
Q9M9K1	P34059	10.5	290	0
P07862	P25051	27.9	295	0
P80668	O75891	39.2	477	0
Q63342	P48728	22.7	359	0
P11436	Q03217	21.4	257	0
P11439	P10844	10.9	131	0
Q04212	P48570	9.7	231	0
Q04609	Q01693	18.8	197	0
P09417	Q01289	10.4	227	0
P09543	Q13574	11	311	0
P09598	P08183	8.6	230	0
P09786	P38627	13.5	190	0
P09788	P56216	30.9	515	0
P47180	Q01172	14.7	207	0
P71447	P40852	20.1	197	0
P72156	Q9Y2T3	17.8	402	0
P11889	O42446	13.7	247	0
Q07982	O32223	18.2	318	0
P0A877	P42390	30.8	259	0
P0A9T0	P33160	26.4	284	0
P56740	P48596	7.4	99	0
P56839	P77541	27	283	0
P06988	Q9WYC9	12.9	348	0
P39466	P09384	9.5	141	0
P39581	P10378	20.1	474	0
P06617	P81383	22.7	439	0
P06621	P44514	20.2	349	0
P35816	P70313	11.6	259	0
P35914	Q58595	25.4	278	0
P76473	O13898	9.9	233	0
P77425	P37111	15.7	334	0
P77467	P30084	30.6	253	0
P16932	P22256	28.1	415	0
P17118	P24806	9.6	176	0
P17118	O08590	8.9	230	0
P77541	P56839	27	283	0
P77608	P35505	10.6	198	0
P20580	P28820	37.6	456	0
P20906	P37251	23.6	503	0
P20932	Q9UJM8	31.8	353	0
Q13526	P40818	23.8	52	0
Q13569	P34791	8.1	86	0
P10349	O22446	10.5	85	0
P10378	Q01574	19.6	486	0
P10547	Q43155	5.3	128	0
P51687	P11035	26.8	443	0
P51688	P51691	22	406	0
P51853	P37251	21.9	515	0
P51857	P45376	48.2	314	0
O32223	Q07982	18.2	331	0
O32449	P77044	18	266	0
O34926	Q00441	24.2	379	0
P14882	P24182	47.9	441	0
Q05115	Q00924	19	207	0
Q05117	P32962	9	236	0
Q05514	P51183	11.8	253	0
P31414	P08183	10.1	609	0
P08458	Q13163	28.7	281	0
P08475	Q08499	11.7	63	0
P52708	P16675	27.5	432	0
P52788	Q9LEL6	12.4	148	0
P23524	Q06210	10.3	258	0
P23616	P08001	16	50	0
P23687	P27487	11.9	621	0
Q43295	Q12650	37	178	0
Q46509	P80456	18.2	864	0
P00914	P21865	14.1	245	0
P55881	P16456	17.2	282	0
P56065	P46462	15.7	79	0
P07003	P37063	29.4	564	0
P07062	P28585	10.4	254	0
P07099	P52705	8.9	232	0
P07099	P42785	9.3	340	0
Q51698	Q46509	15.6	513	0
Q51792	P44859	13.9	240	0
Q51947	Q9X1K9	18	282	0
P05055	P21513	28.5	70	0
P05164	P80025	49.5	706	0
P37334	P07445	13.8	114	0
P37528	O65355	12.8	176	0
P37552	P19080	18.8	68	0
P14020	P0A6V1	12.4	202	0
P14280	P39116	10.4	267	0
P14300	O88502	11.9	233	0
P32322	Q12122	9.7	301	0
P13674	Q14318	13.4	119	0
P53799	P54748	8.6	288	0
P54350	P11275	22.2	256	0
P54462	P05062	7.2	249	0
P18548	P42220	57.6	309	0
P18775	O87948	25.5	742	0
O30011	P48570	13.3	172	0
O31440	Q16850	16.7	400	0
O31616	Q63342	23.1	338	0
