query	target	bits	fident	alnlen	lddt	ttmscore	alntmscore	cigar	query_ec	target_ec	ungapped_alnlen	ec_match
P36557	P36557	2665	1.0	356	1.0	1.0	1.0	356M	2.7.13.3	2.7.13.3	356	True
P36557	P30844	2276	0.856	356	0.9753	0.9651	0.9651	356M	2.7.13.3	2.7.13.3	356	True
P36557	P35164	306	0.172	429	0.6341	0.293	0.293	15M1I32M1D9M1I20M5D5M112D14M1I6M2D9M5D9M1D14M4I4M4D10M1I67M1D29M1D3M3D27M1I12M	2.7.13.3	2.7.13.3	285	True
P36557	P18769	144	0.161	321	0.5291	0.1606	0.1606	8M6I5M6I26M1I9M2I14M8D25M12D8M2I6M2I6M1D11M2D5M2I8M1D19M11D4M1D11M1D21M25D4M2D35M1I10M	2.7.13.3	2.7.13.3	235	True
P36888	P36888	8633	1.0	993	1.0	1.0	1.0	993M	2.7.10.1	2.7.10.1	993	True
P36888	P17948	1128	0.254	1051	0.6	0.2329	0.2329	10M4D8M2I10M6D1M3I9M4D41M7I4M1D6M11D16M1I12M4D6M1I10M1I11M2D5M7I2M6D2M6D4M1D15M5D2M4I8M17D6M4D3M4D10M1D9M2I5M2I10M3D12M3D14M9I6M3D5M1D3M4D8M3D5M1D6M1D3M3D18M2D7M2D12M2D1M4D8M2D17M7I5M2D3M3I3M3I3M2I44M1D21M1I4M3I4M5I8M2I4M9D8M1D83M1D33M2I2M4D9M2D39M11I167M3I12M7D31M	2.7.10.1	2.7.10.1	833	True
P36888	P08922	588	0.181	1079	0.4881	0.1139	0.1139	8M4D4M3I5M4I2M5I3M6I5M2I13M11D9M15D5M5D6M5D11M4D3M2I5M3D3M1D6M8D3M1I12M1I6M3D8M2D4M2D3M1D11M10D5M7I4M2I2M3I9M5I8M1D13M3D8M2D7M7D10M2I9M5D7M6D10M1I4M10I12M5D8M3D2M1I21M2I3M1D3M2D7M1D6M3D4M1I6M1D1M1D4M3D8M1D4M2D18M12I3M1D7M5D8M1I3M1D13M4D52M3I11M5I3M5D6M18D35M1D30M1I41M18I2M50I3M1D37M5D20M1I3M1D47M3I5M2D57M2D36M	2.7.10.1	2.7.10.1	760	True
P36888	P29317	475	0.163	1013	0.4739	0.274	0.274	3M1I9M10D5M9D4M6D13M7D15M3I9M5D6M10I4M4I10M2D5M1D6M18I7M2D13M5D3M3I6M17I4M9I2M9I6M9I4M20I5M7D3M5D6M1I16M10D3M5I6M4D8M12D8M2D8M2D2M6D8M1I18M7D23M1D13M7D8M1I8M1D3M11I3M5I25M4D12M15D12M22I7M4I11M11D9M4D4M2D30M1I33M1I38M13I6M60I54M1D54M1I53M2D3M	2.7.10.1	2.7.10.1	634	True
P36888	Q08345	427	0.146	957	0.4993	0.2923	0.2923	6M5I6M10D8M11D7M8I4M2D3M10D5M3I3M2I7M1D2M4I6M21I7M8I4M3D9M5D7M1I8M30D16M13I7M4I7M4D2M1I4M1D13M1D4M2D3M5I8M12D12M7I5M2I10M16D11M20D28M32D15M45D16M23D3M24D30M11D35M1I35M4I5M4I7M13I10M34I104M1D7M1I7M3D2M2D3M2D44M	2.7.10.1	2.7.10.1	545	True
P36888	Q03145	418	0.164	1001	0.4438	0.2612	0.2612	3M1I9M10D5M9D4M6D11M5D2M2D15M3I9M5D6M10I10M12D19M10I7M1I4M2D6M3D6M8D3M4D7M1D5M8I7M27I5M2D8M1I8M9I3M5I3M8I1M8I13M12I8M12D8M2D8M2D8M5D21M7D23M1D13M4D6M17I5M1D11M3D25M4D9M15D14M17I11M2D26M4D4M2D30M1I33M1I37M13I7M60I62M1D42M3I6M2D49M2D3M	2.7.10.1	2.7.10.1	648	True
P36888	P33886	274	0.194	381	0.5542	0.3604	0.3604	27M3I5M2I31M1I33M4I5M71I18M1D34M3D10M7I11M7D17M1I16M2D42M16D14M	2.7.10.1	2.7.12.2	263	False
P36888	Q38997	273	0.175	461	0.5263	0.3889	0.3889	22M1I2M2I2M2I10M6I12M7D37M62I3M12I56M1I8M2I13M1I6M2D14M1I12M1I13M1I28M50D4M6D16M10D9M1I13M1I12M	2.7.10.1	2.7.11.1	292	False
P36888	Q05116	269	0.184	418	0.5131	0.4957	0.4957	24M5I35M1I31M1I9M16I2M58I9M1D11M1D30M1D6M5I38M3I17M19D4M6D3M21D29M2D4M1I3M4D18M	2.7.10.1	2.7.12.2	273	False
P36888	Q63980	260	0.163	501	0.4994	0.4905	0.4905	4M1I16M11I16M11D1M19I2M4I29M3I4M2I29M1I31M1I8M3I2M13I1M58I9M1D11M1D30M5D6M9I34M3I17M22D5M1D2M21D28M8D2M5D3M1I7M	2.7.10.1	2.7.12.2	297	False
P36888	Q02750	259	0.168	493	0.5252	0.4846	0.4846	32M7D11M24I3M7I26M3I4M2I29M1I31M1I8M3I2M13I1M58I9M1D11M1D30M1D10M5I34M3I17M22D5M1D2M21D28M8D2M5D3M1I7M	2.7.10.1	2.7.12.2	305	False
P36888	P08018	258	0.187	383	0.5257	0.3062	0.3062	22M3I5M2I28M1I32M7I6M1I3M35I4M28I18M2D3M2I1M1D15M1D13M3D9M7I9M5D20M1I21M2D9M1D27M16D20M	2.7.10.1	2.7.12.2	265	False
P36888	P36507	257	0.19	414	0.5059	0.471	0.471	26M3I4M2I32M1I28M1I8M3I2M13I1M57I21M1D31M3D9M7I28M3I21M26D5M1D5M21D26M13D4M1I7M	2.7.10.1	2.7.12.2	258	False
P36888	Q63932	247	0.172	430	0.4906	0.4708	0.4708	26M3I4M2I32M1I28M1I8M3I2M13I1M58I9M1D11M1D30M5D6M9I30M3I21M27D5M5D4M17D26M8D2M5D3M1I19M	2.7.10.1	2.7.12.2	267	False
P36888	O70293	243	0.162	369	0.5133	0.344	0.344	31M5I9M6I11M5D3M2D31M6I6M9I7M57I52M2I10M1I32M1I7M2D44M9I4M3D6M1D7M	2.7.10.1	2.7.11.16	260	False
P36888	Q63651	237	0.161	402	0.526	0.3678	0.3678	30M5I10M7I5M1I6M9D37M13I9M57I52M1I14M1I6M1I6M1D16M1I8M2D44M5D8M1D4M2D8M16D16M	2.7.10.1	2.7.11.14	279	False
P36888	P32350	136	0.128	552	0.4861	0.2866	0.2866	9M10D6M5I1M2I27M2D3M6I8M2I20M5D26M1I11M15I6M57I34M32D17M5I42M1I9M36D6M2D2M44D5M31D12M7D23M2D20M	2.7.10.1	2.7.12.1	287	False
P36888	P29295	132	0.1	518	0.4197	0.3121	0.3121	27M3I20M5I37M1I4M15I12M58I39M3D13M5I10M10D11M2I2M2D13M1I16M28D12M1D5M46D3M19D9M7D20M10D13M2D34M	2.7.10.1	2.7.11.1	300	False
P36888	P38418	78	0.111	206	0.3912	0.05611	0.05611	18M2I10M6I2M4I15M3D18M2I4M3I10M2I5M19D6M4D3M4D19M1I5M1D3M1D5M13D10M4D4M	2.7.10.1	1.13.11.12	137	False
P36888	P80564	59	0.108	138	0.2821	0.151	0.151	9M6D6M3I4M4D4M3I5M4D4M5I13M9I11M3D3M4I5M2I5M2I24M	2.7.10.1	1.97.1.2	93	False
P36888	P18769	56	0.077	258	0.3641	0.05384	0.05384	9M2D9M7I10M8D9M46I4M1I9M1I13M19I9M6I13M14D4M8I38M2D17M	2.7.10.1	2.7.13.3	144	False
P36888	P14270	52	0.092	574	0.2825	0.04877	0.04877	16M1I14M2I6M18I16M28I8M1D16M3I5M4I3M11I1M14I7M5I7M16I3M7I6M26I4M3I20M3D17M2D11M17I4M22I3M8I2M7I11M1I11M10I17M3D16M11I10M5D11M4I2M3I9M5D14M10D5M12D15M1I7M7D7M	2.7.10.1	3.1.4.53	304	False
P36888	Q08499	42	0.084	784	0.2636	0.04473	0.04473	22M1D15M20I18M19I30M3I14M1I10M7I12M7I6M9D11M1D5M7D4M9I5M6I6M49D11M3I2M11D12M1D15M4D15M2D15M9D5M16D4M24D2M27D2M2I14M10I1M7I6M8I10M23D6M9I14M2D8M4D1M10D2M6D17M28D8M5D9M5D14M2D2M3I5M4D13M1I4M2D25M7D10M	2.7.10.1	3.1.4.53	410	False
P36888	P45974	40	0.109	293	0.348	0.04268	0.04268	15M3D5M3D3M1I40M4I4M6I7M10D8M4I1M27I5M2I8M11I2M21I6M4D13M7I4M1D11M1I5M6I9M2D10M1I14M1D8M	2.7.10.1	3.4.19.12	178	False
