query	target	pident	ug_alnlen	y_true
P80244	P56772	41.1	189	1
O29689	Q9Z1J3	39.2	372	1
O29634	P10442	26.6	174	1
Q07412	P48491	47.5	247	1
Q57764	P00862	14.2	144	1
O95865	O08557	49.2	274	1
Q60326	Q59007	35.6	387	1
P42787	P15169	42.8	379	1
Q9ZNZ7	Q43155	84.8	1509	1
P41743	P47197	42.5	345	1
P24817	P24478	57.8	272	1
P49917	Q08387	22.8	818	1
P51830	Q01341	22.7	1033	1
Q01062	O00408	92.2	910	1
P34791	P23284	65.6	169	1
P34795	Q9N1E2	45	541	1
O15075	P11275	39.3	284	1
P95607	P07773	29.4	251	1
P38840	P14909	17.1	322	1
P19468	P48506	94.1	637	1
Q06830	Q63716	97.4	199	1
P38604	P48450	39.4	702	1
P00883	P05062	69.7	364	1
P22106	P08243	34.9	515	1
P12532	P11009	79.1	417	1
P27000	O26157	26.8	266	1
P08709	P00742	37.5	413	1
P08069	Q60751	95.5	1367	1
O23627	P38088	43.5	622	1
P23738	Q43908	20.8	476	1
O64903	P47923	63.4	230	1
Q02394	Q58194	59.4	342	1
P07378	P18912	46.2	391	1
O52980	Q14318	16.3	86	1
P10506	Q63932	39	330	1
P19156	P09626	97.5	1033	1
Q9UNI1	Q99895	50.8	242	1
P06992	P42596	6.1	148	1
P77690	Q9Y617	8.7	324	1
Q57878	P28720	25.3	332	1
P28825	Q64230	87.1	746	1
Q13554	P11275	61	478	1
P00450	Q61147	83.3	1060	1
P07824	Q61176	93.4	323	1
Q03023	P08253	9.2	234	1
O35491	P49760	96.6	498	1
P18769	Q56310	23.7	570	1
Q13574	O08560	96.7	928	1
P28037	O75891	91.7	902	1
P06279	P00693	19.8	400	1
P06653	P81717	11	152	1
Q12053	P22367	21.2	1121	1
Q16873	Q60860	88	150	1
O86309	P50295	29.2	250	1
P14555	P24027	45.8	138	1
P11387	Q04750	97	765	1
P09367	P20132	75.2	327	1
Q12556	P12807	32.3	633	1
P20594	P16066	61	1035	1
P39683	P18133	31.3	387	1
P16386	Q05469	86	752	1
O84835	P11157	28.2	282	1
P10632	P04799	29.2	471	1
P04424	P12047	16.8	400	1
P31551	P14604	32.3	253	1
Q06278	P48034	86.8	1338	1
P78540	Q61176	59.5	323	1
Q9FUZ2	Q9I7A8	36.6	167	1
O75390	P20901	25.4	366	1
O24035	P31663	40	281	1
P21803	Q04589	70.4	809	1
Q51344	P44801	67	368	1
P11275	Q13554	61	478	1
Q16790	Q9WVT6	38.3	307	1
P30084	P14604	86.8	290	1
O67463	P0A873	37.2	246	1
Q02971	Q38707	67.8	348	1
P00491	P55859	86.5	289	1
Q43250	Q43255	57.1	525	1
P13376	P34795	20.8	427	1
Q9UWU1	O66615	33.6	113	1
O29610	P76251	27.5	339	1
P42575	P29594	89.6	452	1
P31723	O60476	32.1	442	1
P42535	P32009	23.1	399	1
P37981	O59570	53.7	175	1
P22518	P49759	89.4	483	1
P54965	Q9L5D6	8	148	1
P28271	Q63270	96.4	889	1
P53041	P36873	36.1	292	1
P51649	P25526	55.3	475	1
P25774	O70370	73.4	331	1
P00864	Q01647	38.9	882	1
P05654	O66726	40.9	280	1
Q55777	P56653	18.9	130	1
P04830	P30921	66.5	713	1
Q55318	P21890	56.3	412	1
P20051	O04904	33.5	337	1
P09242	P08289	97.7	524	1
P14656	P38561	94.3	356	1
P30967	P04177	33.1	217	1
P06986	P14909	20.5	294	1
P31570	P29930	39.8	194	1
O66615	Q9UWU1	33.6	113	1
Q64514	P29144	95.3	1249	1
P38561	P14656	94.3	356	1
P22367	Q12053	20.7	1119	1
Q62190	P07332	35	263	1
O88508	P26358	10.4	792	1
P49333	P16575	20.5	526	1
P39153	P32579	37.5	341	1
Q9Y5Z0	P56817	47.1	466	1
O59828	P10724	29	356	1
Q9NRA0	Q9JIA7	83	616	1
P91953	P08253	20.5	452	1
Q07510	P30074	16.9	319	1
Q9UYD1	O58214	81.8	192	1
P48452	P62136	34	295	1
P53720	Q06063	22.6	286	1
P18054	P16050	65.4	662	1
P35218	Q9Y2D0	62.3	287	1
Q07343	P14646	96.6	736	1
P56709	Q9HH07	78.1	553	1
P45985	P52564	52	330	1
P07101	P04177	83.7	497	1
P46734	O09110	96.5	347	1
Q64669	P05982	93.7	274	1
Q02750	Q63980	97.7	393	1
P0AGJ9	P00952	56.3	416	1
P14920	P00371	84.7	347	1
P31512	Q99518	54.4	525	1
O35952	Q16775	84.7	308	1
P55211	P29594	28.2	393	1
Q59196	Q96255	48	360	1
P22188	P15925	14.4	342	1
P48439	Q03723	18.1	283	1
P20351	P48775	54.6	377	1
Q05756	P09832	43.6	461	1
P36888	P17948	24.8	846	1
P05055	P39466	17.4	116	1
P32929	P31373	50.8	383	1
Q13162	P32119	69.7	195	1
Q06053	Q06063	20.3	290	1
P45336	P40719	43.7	443	1
P75823	O07051	52.8	332	1
O02791	P54818	82.5	677	1
Q58895	Q58723	13.6	142	1
P18798	P22869	13.7	313	1
O15217	P04904	54	220	1
P09384	P07363	84.6	654	1
P05091	P47738	94.8	516	1
P42588	P29758	28.6	419	1
P24604	P42681	60.2	472	1
P20586	P42535	17.1	366	1
P15169	Q00493	52	391	1
Q9UUA2	P07271	34.5	683	1
O80840	O15305	60.4	244	1
P53555	P12995	33.2	416	1
P73283	P22367	23.9	393	1
P91887	P91885	65.2	940	1
P06634	O15523	49.3	592	1
O24174	P17202	71.5	497	1
P97872	P49326	84	533	1
O88813	P33124	59	676	1
