query	target	pident	ug_alnlen	y_true
P37869	P09104	51.2	414	1
P30920	P30921	71.9	710	1
P39042	P0AEB2	28.8	273	1
O94766	Q9P2W7	53.2	264	1
O58885	P81535	80.1	348	1
P21860	P24604	31.9	255	1
Q52428	O26328	58	430	1
O84835	P11157	28.2	282	1
P52873	P11498	96.3	1178	1
Q08499	P14270	97	803	1
P29474	P29473	94.2	1203	1
Q9X4Q8	Q56584	91.1	405	1
P07271	Q9UUA2	34.4	685	1
P12425	Q60182	53.5	438	1
Q96286	P17707	33	325	1
P51649	P25526	55.3	475	1
P36537	P16662	87.5	528	1
P23470	P23469	32	680	1
Q9UKV0	P56524	52.2	933	1
P49862	Q61955	44.4	252	1
P36583	P47197	42.7	344	1
Q53586	P32754	45.8	361	1
P29318	P54759	62.5	977	1
P08473	P07861	94.2	750	1
P80456	Q06278	84	1334	1
P40417	Q39021	48.1	343	1
P15804	P30694	74	949	1
P50294	P50295	81.7	290	1
O73946	P51979	21.8	622	1
Q96529	O24396	73.1	476	1
P29930	P31570	39.8	194	1
P50941	P40288	34	238	1
P87355	O00746	63.3	173	1
P18133	P22253	91	400	1
P42596	Q58293	9.8	224	1
O60476	P31723	31.4	443	1
P21642	P07379	65.1	603	1
P32660	P98200	32.4	1096	1
P40351	O13898	9.9	240	1
P39524	P98200	43.8	1098	1
O35493	P49759	78.6	479	1
Q59948	Q55367	76	145	1
P27793	P28777	52.8	361	1
P05994	P10056	80.9	341	1
P21643	P48776	96.3	406	1
P04825	P91887	15.8	795	1
P29208	P09104	10.8	261	1
P42371	P05523	35.8	265	1
O08557	O94760	93.3	285	1
P39055	P27619	66.3	819	1
Q12320	O24496	31.4	251	1
Q01103	P76458	42.5	217	1
P56601	P32397	27.7	445	1
P00730	P09955	41.8	397	1
P05656	P24133	34.2	486	1
O24174	P17202	71.5	497	1
O70589	Q13554	43.1	324	1
P12013	P38720	47.4	465	1
P35164	P08400	26.2	383	1
Q09200	Q00973	86.8	533	1
P08541	P36511	77.9	530	1
Q9ZBQ7	Q9X0I6	39.9	226	1
P09104	P06733	83.9	431	1
Q14123	Q61481	66.1	536	1
P25856	P19866	81.1	393	1
P27619	P39055	66.3	820	1
Q43908	Q9Y600	27.3	454	1
P14418	P20474	55.6	122	1
Q02126	P54818	11.5	240	1
P13587	P98194	25.8	898	1
P49753	O55137	76.2	419	1
Q58595	Q12122	33.4	398	1
P16636	P28300	85.1	411	1
P06132	P32347	50	350	1
P77510	P52687	40.8	543	1
Q06000	P11152	96.8	474	1
P35575	P35576	88.5	357	1
Q63651	O70293	47.6	535	1
P48034	Q06278	86.8	1338	1
O95573	Q63151	92.3	720	1
O00767	P13011	83	358	1
P22259	Q9AGJ6	14.5	494	1
P05793	P42328	11.4	160	1
O02655	P17707	40.9	325	1
P04841	Q00922	76.2	662	1
Q9P999	P31434	21.6	650	1
P23254	P33315	71.3	680	1
P37333	Q46372	75.8	457	1
P46655	P56926	29	519	1
P96113	Q9FUZ2	35.9	162	1
P07379	P21642	63.4	621	1
P41277	P40106	92.4	250	1
P30405	P62937	76	163	1
P47176	P38891	77	375	1
O13837	P17649	48.8	459	1
P78563	P55265	25	673	1
P74881	Q9X0X3	17.8	580	1
P00811	P05364	69.2	377	1
Q92630	O43781	58.5	576	1
O29689	Q9Z1J3	39.2	372	1
P32929	P31373	50.8	383	1
P11498	P52873	96.3	1178	1
P09646	P00651	52.2	129	1
P14270	Q08499	97	803	1
O02791	P54818	82.5	677	1
P40106	P41277	92.4	250	1
Q43056	P28012	80.1	217	1
P04830	P30921	66.5	713	1
P29068	P15086	24.1	373	1
P42535	P32009	23.1	399	1
O00746	P15531	57.5	146	1
Q9WYI1	O67049	36	246	1
P45877	P23284	69.8	189	1
Q15131	P48609	43.4	286	1
P31350	P11157	91.2	389	1
O06961	Q9WYB1	45.5	388	1
Q00796	P42328	28.5	332	1
P49012	P06181	90.8	351	1
Q03471	O22340	10.2	271	1
P16406	P15144	34.2	917	1
Q47066	P28585	79.3	291	1
Q02323	P30074	69.4	389	1
P42321	P04040	51.4	479	1
P00509	P95468	45.2	391	1
P19456	P05030	35.5	827	1
P37487	P95765	56.2	309	1
O23627	P56206	28.2	466	1
Q9UJ68	P54149	88.5	233	1
Q9MYU4	P55772	63.8	506	1
Q9NSD9	O73984	28.4	549	1
Q91604	Q38997	28.5	342	1
P08401	P35164	15.8	450	1
P06622	P32754	12.9	258	1
Q9KPS2	Q56587	90.5	414	1
P46734	O09110	96.5	347	1
Q47316	Q47318	17.3	529	1
P29476	P29475	93.5	1429	1
O28050	O59651	54.9	717	1
P05523	P42371	35.8	265	1
P07934	P11275	37	258	1
Q05116	Q02750	91.6	393	1
Q15067	P07872	88.5	660	1
P03952	P14272	74.9	638	1
P04799	P10632	28.9	469	1
Q9SGC1	Q9SCY0	58.1	556	1
P0ABH7	P20901	63.7	423	1
P20474	P45881	91.3	138	1
Q9L1L8	P00512	41	315	1
P49183	P11936	78.5	284	1
O28362	O59425	34.5	82	1
P54868	P54869	89.3	508	1
Q9UBP0	P46467	29.2	400	1
P36365	P50285	94.5	532	1
Q55367	Q59948	76	145	1
Q42524	Q9S725	81.4	554	1
P29295	P48729	61.6	305	1
P30074	Q02323	69.4	389	1
O75185	P98194	66.8	882	1
O59425	O28362	34.9	81	1
P24031	P15309	13.5	329	1
P30850	P39112	17.1	414	1
P98002	P00395	51.3	505	1
P05532	P36888	29.5	909	1
P36551	P36553	46	292	1
P17425	Q01581	94.8	520	1
P03956	P22894	56.9	464	1
P32383	P10688	24.7	688	1
P08103	P07948	69.9	503	1
P09832	Q05756	43.7	460	1
P00593	P00592	81.2	144	1
P21348	Q49168	76.4	297	1
P00367	P26443	97.8	558	1
P00817	Q15181	51.7	280	1
P00590	P15304	12.6	174	1
P0A7Y4	P29253	52.2	154	1
O60911	P07711	77.2	333	1
O59828	P10724	29	356	1
Q38997	P47197	32.2	285	1
P76458	Q01103	42.5	217	1
P56122	P27793	37.6	353	1
P49419	P25526	29.4	469	1
Q14432	Q61481	28.2	352	1
P00942	P60174	52.8	247	1
P13377	Q9N1E2	57.2	549	1
P48450	P48449	84.3	732	1
P00654	P00651	30	99	1
P00388	P16435	92.4	677	1
P46354	P55859	46	271	1
P25526	P51649	55.3	475	1
P29452	P29466	61.3	400	1
P20142	P00794	43.1	366	1
P11035	P17571	74	613	1
Q16850	Q64654	93.4	503	1
P14654	P14656	85.6	356	1
P28274	P38627	78.8	566	1
Q92185	Q64687	91.5	355	1
P0AEJ4	P18392	23.1	409	1
O75106	Q16853	65.3	754	1
P15167	P30431	64.4	373	1
Q64133	P21396	94.8	526	1
P98194	O75185	66.8	884	1
P0A6W9	P48506	12.3	405	1
P13807	P51094	7	406	1
P76216	O94760	8.4	265	1
Q02108	P19686	89.1	689	1
P15290	P45850	95.5	201	1
P06858	P11151	93.8	442	1
P38919	P29562	70.1	377	1
Q9R0K7	P11506	95.9	1198	1
P17169	P53704	35.3	600	1
P09917	P48999	93.4	674	1
P53396	P20901	19.2	213	1
P78540	Q61176	59.5	323	1
P22367	Q12053	20.7	1119	1
P70313	P29473	92.7	1200	1
O70293	Q63651	46.1	555	1
P47227	Q46381	80.7	276	1
P25306	P20132	27.2	303	1
P41562	P33198	70	407	1
P48596	Q05915	58.9	241	1
P19808	Q9JZR4	36.1	286	1
Q9LX12	Q38862	89.8	510	1
P56817	P56818	96.4	501	1
P54616	O24990	44.5	255	1
P11388	Q02880	67.4	1519	1
P30181	P11387	37.5	738	1
Q56232	P77806	28.4	368	1
P30566	P04424	17.4	415	1
P23509	P15280	81.9	512	1
Q00973	Q09200	86.8	533	1
P16703	P47998	43	292	1
P52704	P52705	76.7	257	1
P07001	Q13423	50.1	508	1
P30855	P16575	27.4	1169	1
O04905	P20425	55.3	182	1
P10688	P51178	91.2	756	1
P07639	P56081	36.3	338	1
P43094	Q00663	41.7	367	1
P46467	Q9UBP0	28.7	394	1
P44916	P39464	28.2	320	1
Q43503	Q55276	35.1	410	1
P22304	P15586	17.7	440	1
P05618	P17692	86.8	713	1
P11362	Q04589	97.6	822	1
Q9Z188	Q9Y463	97.2	629	1
P13196	P22557	55.7	553	1
Q02846	P20594	32.1	974	1
P32755	P32754	89.8	393	1
P25397	P25087	17	147	1
Q9V1A5	Q9WZW0	30	267	1
P97571	P17655	62.5	696	1
Q9ZFK4	P45251	66.7	281	1
P31434	Q9P999	21.5	649	1
P07686	P49010	29.5	471	1
P07288	P06870	60.3	261	1
P12758	O34925	27.1	227	1
O32142	P76341	35	107	1
P19754	Q08828	91.7	1119	1
O15217	P04904	54	220	1
P21888	P56690	8.5	409	1
Q9Z2A5	O95260	80.8	512	1
Q9Y2J8	Q08642	93.2	665	1
Q01065	Q01064	95.8	535	1
Q51344	P44801	67	368	1
P56076	Q10657	30.9	222	1
P21954	P33198	60.9	416	1
Q39735	Q39734	93.4	952	1
P06133	P16662	85.4	528	1
Q9NP56	Q9QXQ1	90.4	444	1
Q9P4V2	O95394	47.7	521	1
P34163	P15304	9.3	294	1
P13382	P95690	15.8	777	1
P55301	P21348	64.6	297	1
P06732	P00563	96.5	381	1
P12676	P22637	58.7	501	1
Q9LF79	P20020	39.1	949	1
P25081	Q46938	7.2	178	1
O70310	P31717	97.3	496	1
P51567	P49760	41.4	395	1
P17109	P23970	27.5	539	1
P45850	P15290	96	200	1
P26637	P96142	14.6	752	1
P11436	Q9UBR1	18.8	279	1
P75070	P04184	32.6	183	1
Q9UYD1	O58214	81.8	192	1
P29468	P25500	37.4	524	1
P31922	P49040	72.7	800	1
P05020	O04904	53.7	346	1
P14377	P10955	17.8	346	1
P06744	Q9N1E2	93	558	1
P24630	P30949	58.5	424	1
P00439	P04176	92.2	452	1
P35590	Q02858	45.4	1084	1
O88502	O60658	79	822	1
P00563	P06732	96.5	381	1
P20815	P24462	81.7	502	1
P47229	P77044	51	282	1
P04062	P17439	86.4	515	1
P38986	P00805	35	338	1
P46849	O00442	31	336	1
P00729	P09620	23.8	440	1
P35218	Q9Y2D0	62.3	287	1
P00598	P00596	95.8	146	1
O25909	Q15274	31.5	270	1
P06733	P17182	94.7	434	1
Q04829	P11959	49.3	469	1
P37303	O07051	38.7	332	1
P43346	P27707	93.4	260	1
Q14289	P54762	40.2	266	1
P29509	Q39243	62.7	312	1
P31723	O60476	32.1	442	1
Q9R008	Q03426	81	395	1
P20132	P09367	75.2	327	1
Q92820	Q62867	67.9	317	1
P77454	P13264	37	291	1
Q9X1K9	Q57695	48.2	289	1
P50442	P50440	95.5	423	1
P13516	P07308	92.7	355	1
Q06124	P29350	54.4	587	1
Q91044	Q16288	88.3	825	1
P22288	Q05915	96.2	241	1
O00442	P46849	31	336	1
P30793	P22288	92.1	241	1
Q12556	P12807	32.3	633	1
P00381	Q54801	33.5	161	1
Q64687	Q92185	91.5	355	1
P10297	Q40772	36.7	288	1
Q56589	Q9X4Q7	94.9	198	1
P13702	Q59468	21.9	339	1
P44514	P23908	23.7	356	1
Q27893	Q9MYU4	15.1	416	1
P07954	P08417	65.3	486	1
P21161	P43387	54.8	262	1
P75966	Q12069	17.9	130	1
P29465	P19449	10.7	320	1
P26443	P00367	97.8	558	1
P27623	O26010	20.1	119	1
Q16831	P12758	21.9	223	1
P32170	P12851	12.8	357	1
P06986	P77806	17.4	311	1
P07511	P34896	92.1	483	1
Q59112	P55809	17.2	197	1
P41245	P14780	72.2	704	1
P20231	Q9UNI1	34.2	244	1
O22446	Q13547	57.1	458	1
P46881	P12807	32	608	1
P76341	O32142	35	107	1
P00813	P56658	88.7	363	1
P22057	O09114	88.8	179	1
P98072	P98073	81.1	1019	1
P18894	P14920	80.6	345	1
Q59266	O66937	43.1	472	1
P31142	P52197	28.2	256	1
P39142	P07650	43.7	433	1
P49189	P17202	38.2	485	1
P06814	P17655	94	420	1
Q51645	Q52087	37.3	221	1
P53720	P53759	19.8	298	1
P49040	P31922	73	797	1
O66937	Q59266	42.9	474	1
Q63716	Q06830	97.4	199	1
O75936	P37610	16	227	1
P46883	Q43077	28.3	619	1
Q9NTI2	P98200	94.5	1148	1
P25553	P25526	38.6	473	1
P23222	P10955	54.5	375	1
P49761	O35492	88.4	638	1
P09622	P09623	96.2	509	1
P77791	P26841	31.8	88	1
O80840	O15305	60.4	244	1
Q23977	O14733	56.1	367	1
P15105	P09606	96.5	373	1
P11560	P07955	57.9	432	1
Q58407	Q58037	26.7	273	1
P39045	P39844	44.3	463	1
P31214	P24008	43.6	242	1
P07962	Q49605	61.7	544	1
P22983	Q39734	55.4	866	1
O09127	P54759	54.9	975	1
P14740	P27487	84.6	764	1
P04179	O93724	43.2	197	1
P48609	O35831	54.7	281	1
P09626	P19156	97.5	1033	1
P21397	P21396	87.2	526	1
P16456	P49903	25.6	316	1
P05089	P07824	86.9	322	1
P42801	Q38862	93.5	510	1
P28273	P97608	47.8	1234	1
P13955	P0ABQ4	35	156	1
Q04589	P11362	97.6	822	1
P24604	P42681	60.2	472	1
O13345	P93147	18.5	479	1
P23381	P32921	90	471	1
